ID_KEY;OBL;NU;KMB
013;06;Бюджет Великомошковецької с\р;06301503000
013;07;Бюджет с.Велика Бийгань;07301510000
013;08;Бюджет м. Мелітополь;08204100000
013;09;Бюджет с. Поляниця;09202505000
013;10;Бюджет м. Ржищів;10208100000
013;11;Бюджет селища Власівка;11204401000
013;12;Бюджет селища Дубівське;12203403000
013;13;Бюджет смт.Східниця;13202401000
013;14;Бюджет Костянтинівської селищної ради;14301402000
013;15;Бюджет селища Сергіївка;15202402000
013;16;ВЕЛИКОБАГАЧАНСКИЙ РАЙОН/ПГТ ВЕЛИКАЯ БАГАЧКА;16301200000
013;17;Бюджет с. Велике Поле;17301505000
013;18;Бюджет Охтирського р-ну;18311200000
013;19;Бюджет с.Літятин;19301511000
013;20;Бюджет м. Куп`янська;20203100000
013;21;Бюджет Селища Дніпряни;21203401000
013;22;с. В``язовець;22301505000
013;23;Бюджет селища Вільшана;23301401000
013;24;Бюджет с. Виженка;24301503000
013;25;Бюджет с. Піски;25301512000
013;27;Зведений бюджет Гагарінського району;27400604000
014;01;Бюджет м. Джанкоя;01204100000
014;02;АНТОНIВСЬКА/С.АНТОНIВКА;02301501000
014;03;Бюджет с. Зоря;03301506000
014;04;Бюджет Баглійського району;04203602000
014;05;Бюджет м. Авдіївки;05202100000
014;06;Бюджет Волицької с\р;06301504000
014;07;Бюджет с.Галабор;07301511000
014;08;Бюджет м. Токмак;08205100000
014;09;Бюджет с. Тисів;09202506000
014;10;Бюджет м. Славутич;10209100000
014;11;Бюджет Олександрійського р-ну;11316200000
014;12;Бюджет селища Кам`яне;12203404000
014;13;Бюджет м. Дрогобича;13203100000
014;14;Бюджет Агрономійської сільської ради;14301501000
014;15;Бюджет м. ізмаїла;15203100000
014;16;ВЕЛИКАЯ БАГАЧКА;16301401000
014;17;Бюджет с. Вітковичі;17301506000
014;18;Бюджет селище Чупахівка;18311401000
014;19;Бюджет с.Мечищів;19301512000
014;21;м. Таврiйськ;21203701700
014;22;с. Гулiвцi;22301506000
014;23;Бюджет селища Цвіткове;23301402000
014;24;Бюджет с. Долішній Шепіт;24301504000
014;25;Бюджет с. Гайворон;25301503000
014;27;Зведений бюджет Ленінського району;27400601000
015;01;Бюджет м. Ївпаторія;01205100000
015;02;БАЛКIВСЬКА/С.БАЛКИ;02301502000
